index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FO538757.2,Fibroblasts,0.10986301471756876,0.3736221315694301,0.2820691359721202,3.064955983973013,0.0021770203400588765,0.007405836391444024
AP006222.2,Fibroblasts,0.16659698613358678,-0.39514854390602383,0.18017437961511115,1.7318715985551592,0.08329642657434061,0.1295780035897086
RP4-669L17.10,Fibroblasts,0.004865701883417436,-0.008377950312015688,0.6376262082504919,0.32613517758089544,0.7443220829234524,
RP11-206L10.9,Fibroblasts,0.025799164193219936,0.025441083015636735,0.5184335824695622,1.124787190179343,0.2606792239306843,
FAM87B,Fibroblasts,0.021720265099006784,-0.10860899387415984,0.5260411133169831,0.820357201332789,0.4120125062609924,
LINC00115,Fibroblasts,0.013706831663472953,0.030287628739110683,0.6771776376556456,0.6631899208919625,0.5072089258820913,
FAM41C,Fibroblasts,0.01568254635350107,0.019317921546103654,0.6662810313247497,0.665031112223252,0.5060305937348843,
RP11-54O7.3,Fibroblasts,0.0211625941037171,0.07134943540742499,0.7280607198918108,0.7277543388182202,0.46676398041569145,
SAMD11,Fibroblasts,0.10503169792583528,0.1234098497315847,0.28636234312115044,2.3146192003642856,0.020633781158934092,0.049450820924976394
NOC2L,Fibroblasts,0.21845820842579702,-0.4164147883166894,0.13588087364831186,1.0527102766686922,0.29247379724174827,0.3449536951514981
PLEKHN1,Fibroblasts,0.008746062104342492,-0.19051043836461998,0.5496965918884607,0.5044448784068559,0.6139487878955676,
HES4,Fibroblasts,0.03815999421737856,-1.2333564553138021,0.7062340329165699,0.7888701362122237,0.43018791175528914,
ISG15,Fibroblasts,0.6297047351208769,-1.9230626225518948,0.12018386561681443,-14.069042930219581,5.886059066689284e-45,1.5367553514324786e-43
AGRN,Fibroblasts,0.019788253633548226,-0.11304703093123684,0.5080022633502735,0.8528613530536863,0.39373619560271733,
C1orf159,Fibroblasts,0.026499595725575323,-0.07553567656883975,0.4910801056025791,1.085572805317299,0.2776680367447284,
TNFRSF18,Fibroblasts,0.011862196992739852,0.0403629028908215,0.703617125574093,0.6743439050128538,0.5000926969238824,
TNFRSF4,Fibroblasts,0.013904364825965016,0.02417986311895067,0.6453320853310859,0.7057405728650663,0.4803494845746822,
SDF4,Fibroblasts,1.1123755236818949,-0.036196344940935654,0.0571832491550763,-0.32133096384905724,0.7479595938252059,0.7799641034808374
B3GALT6,Fibroblasts,0.09786495405070181,-0.044052496334282994,0.26985676203067815,2.260078493348212,0.023816379668650186,0.05521855210234335
UBE2J2,Fibroblasts,0.27004369787736593,-0.4491600264609226,0.10964138452742854,0.009216809617017582,0.9926461540245569,0.9934444219409417
ACAP3,Fibroblasts,0.14432880664461922,-0.18006491640416483,0.2311635465306259,2.200442835962777,0.02777549147683686,0.06196015763314161
PUSL1,Fibroblasts,0.07176327401883972,-0.8252084941863398,0.3090068671799564,1.3496014483930605,0.17714385933563515,0.22706586813573337
CPSF3L,Fibroblasts,0.2538424347264589,-0.5789248882299822,0.11636912803598934,-0.5463313508858239,0.5848381895940431,0.6314324409627993
CPTP,Fibroblasts,0.07091166385694166,-0.4420456023075926,0.34522026757042024,1.4741648685100572,0.1404372063522569,
DVL1,Fibroblasts,0.07078121538860582,-0.9436489455699795,0.4041324387825526,1.2770362292259672,0.2015894569602702,
MXRA8,Fibroblasts,2.9181620466332627,-0.5556697888361632,0.060667657652293344,-9.443610100314984,3.6015220936159565e-21,4.137317765081592e-20
AURKAIP1,Fibroblasts,0.8339751010946482,-0.80448307337885,0.05562548511098243,-13.4302333509605,4.021423085229841e-41,9.624348133785648e-40
CCNL2,Fibroblasts,0.3211369741013325,-0.1256508602322949,0.11968655896942887,2.1575995924699427,0.030958976419074625,0.06648567067047173
MRPL20,Fibroblasts,0.837460255198324,-0.67020987134756,0.05718353775578131,-10.829565760434658,2.4933490845269643e-27,3.594177145591282e-26
